B.Sc. Computer Engineering (Software Engineering),B.Sc. Computer Engineering (Software Engineering),B.Sc. Computer Engineering (Communications),B.Sc. Electrical and Electronic Engineering,B.Sc. Mechanical Engineering,B.Sc. Metallurgy and Metal Forming,B.Sc. Steel Technology and Metal Forming,B.Sc. Structural Engineering
Discrete Mathematics,Discrete Mathematics,Discrete Mathematics,Struktur von Mikrorechnern,Produktionstechnik,Grundlagen der Umformtechnik,Grundlagen der Umformtechnik,Geotechnik 1 - Bodenmechanik
Softwaretechnik,Softwaretechnik,Nachrichtentechnik (alt: Signalübertragung und Modulati,Mathematik E3,Strömungslehre 1,General Chemistry,General Chemistry,General Chemistry
Rechnerarchitektur,Rechnerarchitektur,Rechnerarchitektur,Nachrichtentechnik (alt: Signalübertragung und Modulation),Verfahrenstechnik,Design Theory 2,Design Theory 2,Mathematics I1
Wahrscheinlichkeitsrechnung und Statistik (alt: Wahrscheinlichkeitsrechnung und Stochast,Wahrscheinlichkeitsrechnung und Statistik (alt: Wahrscheinlichkeitsrechnung und Stochast,Wahrscheinlichkeitsrechnung und Statistik (alt: Wahrsche,Grundlagen der elektrischen Energietechnik,General Chemistry,Design Theory 3,Design Theory 3,Mathematics I2
Electronic Business,Electronic Business,Electronic Business,Festkörperelektronik,Design Theory 2,Eisen- und Stahlerzeugung 1,Eisen- und Stahlerzeugung 1,Betonbau 1
Sicherheit in Kommunikationsnetzen,Sicherheit in Kommunikationsnetzen,Sicherheit in Kommunikationsnetzen,Introduction to Electromagnetic Compatibility,Design Theory 3,Mathematics I1,Mathematics I1,Betonbau 2
Real-Time Systems (letztmalig im WiSe 19/20- nur noch Wiederholer),Real-Time Systems (letztmalig im WiSe 19/20- nur noch Wiederholer),Real-Time Systems (letztmalig im WiSe 19/20- nur noch,Einführung in die Werkstoffe,Strukturdynamik,Mathematics I2,Mathematics I2,Mechanics I2
Mathematics I1,Mathematics I1,Mathematics I1,Mathematics I1,Mechanische Verfahrenstechnik,Statistics for Engineers,Statistics for Engineers,Mechanics I1
Mathematics I2,Mathematics I2,Mathematics I2,Moderne elektrische Energieversorgung,Einführung in die Mechatronik und Signalanalyse,Technische Darstellung,Technische Darstellung,Stahlbau 1 / Holzbau 1
Regelungstechnik EIT (alt: Einführung in die Automatisierungstechnik),Regelungstechnik EIT (alt: Einführung in die Automatisierungstechnik),Regelungstechnik EIT (alt: Einführung in die Automatisier,Mathematics I2,System Dynamics,Wärmekraft- und Arbeitsmaschinen,Wärmekraft- und Arbeitsmaschinen,Stahlbau 2 - Stahlhochbau
Digitale Medien,Digitale Medien,Digitale Medien,Regelungstechnik EIT (alt: Einführung in die Automatisierungstechnik),Control Engineering,Werkstoffkunde Stahl,Werkstoffkunde Stahl,Design Theory 1
Embedded Systems,Embedded Systems,Embedded Systems,Embedded Systems,Mathematics I1,Mechanics I2,Mechanics I2,Network Analysis
Mechanics I1,Mechanics I1,Theorie linearer Systeme,Theorie linearer Systeme,Mathematics I2,Mechanics I1,Mechanics I1,Baubetrieb 1
Grundlagen der künstlichen Intelligenz,Grundlagen der künstlichen Intelligenz,Mechanics I1,Mechanics I1,Statistics for Engineers,Fertigungslehre,Fertigungslehre,Werkstoffe des Bauens 2
Grundlagen der Bildverarbeitung,Grundlagen der Bildverarbeitung,Grundlagen der künstlichen Intelligenz,Fundamentals of Electrical Engineering I3,Mechanics I3,Datenbanken,Datenbanken,Werkstoffe 3
Optische Übertragungstechnik,Optische Übertragungstechnik,Grundlagen der Bildverarbeitung,Optische Übertragungstechnik,Sensorik und Aktuatorik,Umformtechnik 1,Umformtechnik 1,Wasserbau 1 - Wasserbauliche Planungsgrundlagen und Anlagen
Datenbanken,Datenbanken,Optische Übertragungstechnik,Datenbanken,Wärmekraft- und Arbeitsmaschinen,Umformtechnik 2,Umformtechnik 2,Siedlungswasserwirtschaft 2
Digitale Regelung (alt: Regelungstechnik E),Digitale Regelung (alt: Regelungstechnik E),Internet Technologie u. Web Engineering,Grundlagen der Programmentwurfstechnik,Mechanics I2,Design Theory 1,Design Theory 1,Baubetrieb 2
Logik,Logik,Grundlagen der Programmentwurfstechnik,Digitale Regelung (alt: Regelungstechnik E),Mechanics I1,Objektorientierte Programmierung,Objektorientierte  Programmierung,Fundamentals of Programming
